date,home_name,away_name,home_score,away_score,home_wins,away_wins,home_losses,away_losses,home_win_percentage,away_win_percentage,home_winner
2022-10-20,Vegas Golden Knights,Winnipeg Jets,5,2,0.75,0.667,True
2022-10-21,Florida Panthers,Tampa Bay Lightning,2,3,0.75,0.25,False
2022-10-21,Chicago Blackhawks,Detroit Red Wings,4,3,0.333,0.667,True
2022-10-21,Colorado Avalanche,Seattle Kraken,2,3,0.5,0.2,False
2022-10-22,Boston Bruins,Minnesota Wild,4,3,0.8,0.25,True
2022-10-22,New Jersey Devils,San Jose Sharks,2,1,0.5,0.167,True
2022-10-22,Edmonton Oilers,St. Louis Blues,0,2,0.5,1.0,False
2022-10-22,Ottawa Senators,Arizona Coyotes,6,2,0.5,0.25,True
2022-10-22,Winnipeg Jets,Toronto Maple Leafs,1,4,0.5,0.6,False
2022-10-22,Montréal Canadiens,Dallas Stars,2,5,0.6,0.75,False
2022-10-22,Washington Capitals,Los Angeles Kings,4,3,0.4,0.5,True
2022-10-22,Tampa Bay Lightning,New York Islanders,5,3,0.4,0.5,True
2022-10-22,Columbus Blue Jackets,Pittsburgh Penguins,3,6,0.4,0.75,False
2022-10-22,Nashville Predators,Philadelphia Flyers,1,3,0.333,0.75,False
2022-10-22,Vancouver Canucks,Buffalo Sabres,1,5,0.0,0.75,False
2022-10-22,Vegas Golden Knights,Colorado Avalanche,2,3,0.8,0.4,False
2022-10-22,Calgary Flames,Carolina Hurricanes,3,2,0.75,0.75,True
2022-10-23,Chicago Blackhawks,Seattle Kraken,5,4,0.5,0.333,True
2022-10-23,Detroit Red Wings,Anaheim Ducks,5,1,0.5,0.2,True
2022-10-23,New York Rangers,Columbus Blue Jackets,1,5,0.6,0.333,False
2022-10-23,Florida Panthers,New York Islanders,3,2,0.6,0.4,True
2022-10-23,Philadelphia Flyers,San Jose Sharks,0,3,0.8,0.143,False
2022-10-24,Ottawa Senators,Dallas Stars,4,2,0.6,0.8,True
2022-10-24,New Jersey Devils,Washington Capitals,3,6,0.6,0.5,False
2022-10-24,Edmonton Oilers,Pittsburgh Penguins,6,3,0.4,0.8,True
2022-10-24,Winnipeg Jets,St. Louis Blues,4,0,0.4,1.0,True
2022-10-24,Vegas Golden Knights,Toronto Maple Leafs,3,1,0.667,0.667,True
2022-10-24,Vancouver Canucks,Carolina Hurricanes,2,3,0.0,0.6,False
2022-10-25,Columbus Blue Jackets,Arizona Coyotes,3,6,0.429,0.2,False
2022-10-25,Boston Bruins,Dallas Stars,3,1,0.833,0.667,True
2022-10-25,Montréal Canadiens,Minnesota Wild,1,3,0.5,0.2,False
2022-10-25,Detroit Red Wings,New Jersey Devils,2,6,0.6,0.5,False
2022-10-25,New York Rangers,Colorado Avalanche,2,3,0.5,0.5,False
2022-10-25,Chicago Blackhawks,Florida Panthers,4,2,0.6,0.667,True
2022-10-25,Calgary Flames,Pittsburgh Penguins,4,1,0.8,0.667,True
2022-10-25,Seattle Kraken,Buffalo Sabres,5,1,0.286,0.8,True
2022-10-25,Los Angeles Kings,Tampa Bay Lightning,4,2,0.429,0.5,True
2022-10-25,San Jose Sharks,Vegas Golden Knights,2,4,0.25,0.714,False
2022-10-26,New York Islanders,New York Rangers,3,0,0.333,0.429,True
2022-10-26,St. Louis Blues,Edmonton Oilers,1,3,0.75,0.5,False
2022-10-26,Anaheim Ducks,Tampa Bay Lightning,2,4,0.167,0.429,False
2022-10-27,Boston Bruins,Detroit Red Wings,5,1,0.857,0.5,True
2022-10-27,Philadelphia Flyers,Florida Panthers,4,3,0.667,0.571,True
2022-10-27,Ottawa Senators,Minnesota Wild,2,4,0.667,0.333,False
2022-10-27,Buffalo Sabres,Montréal Canadiens,2,3,0.667,0.429,False
2022-10-27,Nashville Predators,St. Louis Blues,6,2,0.286,0.6,True
2022-10-27,Chicago Blackhawks,Edmonton Oilers,5,6,0.667,0.571,False
2022-10-27,Dallas Stars,Washington Capitals,2,0,0.571,0.571,True
2022-10-27,Seattle Kraken,Vancouver Canucks,4,5,0.375,0.0,False
